numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
44,KLEIN,PASTO MAKARIKARI,,Panicum coloratum var. makarikariensis,FO,1980-05-05,,,ARG,,,,,,,
75,LONG WHITE FLINT SEL.MA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
120,COLORADO MANFREDI MA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
240,BUCK 152,AVENA AMARILLA,,Avena byzantina K. Koch,CE,1980-05-05,,,ARG,,,,,,,
346,COLORADO LA HOLANDESA,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
354,BUENOS AIRES 106,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
373,PICO MAG,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,,,,
404,AMARILLO PRECOZ DE SIMONI,MAIZ,VARIEDADES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
422,MORGAN RENDIDOR,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
425,BORDENAVE RANQUELINA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,,,,
434,INSAVE FA,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,UNIV. NAC. DE LA PLATA - FAC. CS. AGR. Y FOREST.,FEUILLADE ATILIO,,
438,PUNTERO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
448,MANFREDI SUQUIA,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,SEMILLERIA GUASCH S.R.L.,SEMILLERA GUASCH S.R.L.,,
454,OLIVEROS LITORAL SAG,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1964-02-27,,,ARG,,,,INTA E.E.A.OLIVEROS LABORATORI,"BRADA, RENE EDUARDO",,
461,TEZANOS PINTO TARAGUI,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
474,TAGANROG SEL BUCK,TRIGO FIDEOS O CANDEAL,VARIEDAD,Triticum durum Desf.,CE,1979-03-12,,,ARG,,,,,,,
478,MAGNIF CATEDRAL SAG,AVENA BLANCA,VARIEDAD,Avena sativa L.,CE,1983-02-14,,,ARG,,,,,,,
494,PERGAMINO GUAZU,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
502,FUNK G 144,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,,,,,,,,
507,IMPIRA INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
509,PARANA INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
514,TAGANROG BUCK BALCARCE,TRIGO FIDEOS O CANDEAL,VARIEDAD,Triticum durum Desf.,CE,1980-05-05,,,ARG,,,,,,,
519,GUAYACAN INTA,GIRASOL CONFITURA,HIBRIDO,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
531,SANTA CATALINA 6,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
534,CARGILL RECORD 103 A,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
535,ABATI INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
536,CAMPEON Nº1,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
546,RANCAGUA INTA,LINO,,Linum usitatissimum L.,OL,1980-05-05,,,ARG,,,,,,,
553,CARGILL RECORD 110,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
559,CORDOBES INTA,GIRASOL,VARIEDADES,Helianthus annuus L.,OL,1980-05-05,,,ARG,,,,,,,
563,CALCU INTA,CEBADA FORRAJERA,,Hordeum vulgare L. convar. vulgare,FO,1980-05-05,,,ARG,,,,INST. NAC. TEC. AGROPECUARIA,INST. NAC. TEC. AGROPECUARIA,,
568,PASTOREO MASSAUX,CENTENO,,Secale cereale L.,CE,1980-05-05,,,ARG,,,,,,,
581,FUNK G CEROSO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,UN3,,,,,,,
583,CERRILLOS 300 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
584,CERRILLOS 301 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
585,FAMAILLA 222 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
586,FAMAILLA 235 INTA,MAIZ,HIBRIDOS INTERVARIETALES,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
594,CARGILL 360,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
595,CARGILL SEMIDEN Nº2,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
599,NORKIN ARRIERO,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
600,ABATI 2 INTA,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,1980-05-05,,,ARG,,,,,,,
